-0.406231f, -0.393100f, -0.931710f, 0.160784f, 0.160784f, 0.160784f, 
-0.404592f, -0.393103f, -0.931716f, 0.160784f, 0.160784f, 0.160784f, 
-0.402955f, -0.393107f, -0.931726f, 0.160784f, 0.160784f, 0.160784f, 
-0.401315f, -0.393108f, -0.931730f, 0.160784f, 0.160784f, 0.160784f, 
-0.399678f, -0.393112f, -0.931740f, 0.160784f, 0.160784f, 0.160784f, 
-0.398039f, -0.393115f, -0.931746f, 0.160784f, 0.160784f, 0.160784f, 
-0.396402f, -0.393119f, -0.931756f, 0.160784f, 0.160784f, 0.160784f, 
-0.394764f, -0.393122f, -0.931763f, 0.160784f, 0.160784f, 0.160784f, 
-0.393124f, -0.393124f, -0.931766f, 0.160784f, 0.160784f, 0.160784f, 
-0.391486f, -0.393128f, -0.931776f, 0.160784f, 0.160784f, 0.160784f, 
-0.389848f, -0.393131f, -0.931783f, 0.160784f, 0.160784f, 0.160784f, 
-0.388210f, -0.393135f, -0.931793f, 0.160784f, 0.160784f, 0.160784f, 
-0.386570f, -0.393136f, -0.931796f, 0.160784f, 0.160784f, 0.160784f, 
-0.384932f, -0.393139f, -0.931803f, 0.160784f, 0.160784f, 0.160784f, 
-0.383294f, -0.393143f, -0.931812f, 0.160784f, 0.160784f, 0.160784f, 
-0.381655f, -0.393146f, -0.931819f, 0.160784f, 0.160784f, 0.160784f, 
-0.380018f, -0.393150f, -0.931829f, 0.160784f, 0.160784f, 0.160784f, 
-0.378378f, -0.393152f, -0.931832f, 0.160784f, 0.160784f, 0.160784f, 
-0.376739f, -0.393154f, -0.931839f, 0.160784f, 0.160784f, 0.160784f, 
-0.375101f, -0.393159f, -0.931849f, 0.160784f, 0.160784f, 0.160784f, 
-0.373462f, -0.393161f, -0.931855f, 0.160784f, 0.160784f, 0.160784f, 
-0.371825f, -0.393166f, -0.931865f, 0.160784f, 0.160784f, 0.160784f, 
-0.370184f, -0.393167f, -0.931869f, 0.160784f, 0.160784f, 0.160784f, 
-0.368547f, -0.393171f, -0.931879f, 0.160784f, 0.160784f, 0.160784f, 
-0.366908f, -0.393174f, -0.931885f, 0.160784f, 0.160784f, 0.160784f, 
-0.365269f, -0.393177f, -0.931892f, 0.160784f, 0.160784f, 0.160784f, 
-0.363631f, -0.393181f, -0.931902f, 0.160784f, 0.160784f, 0.160784f, 
-0.361990f, -0.393182f, -0.931905f, 0.160784f, 0.160784f, 0.160784f, 
